site,Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Pet Plan,Dog,Croatian Mountain Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Croatian Sheepdog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Curly Coated Retriever,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cursinu,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Czech Shepherd (Bohemian Shepherd),4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dachshund,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dakota Sport Retriever,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dalmador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dalmatian,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dandie Dinmont Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Danish Mastiff,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Danish Swedish Farm Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Daug,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Deerhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Desert Hunting Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dobermann,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dobermann Pinscher,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Docker,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dogue de Bordeaux,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dorgie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dorset Old Tyme Bulldog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Doxiepoo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dusky,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dutch Partridge Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dutch Sheepdog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Dutch Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Eastern-European German Shepherd,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Elkhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,English Coonhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,English Mastiff,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,English Pointer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,English Setter,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,English Shepherd,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,English Springer Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,English Toy Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Entlebucher Mountain Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Eskimo Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Estrela Mountain Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Eurasier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Fell Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Field Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Finnish Lapphund,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Finnish Spitz,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Flat Coated Retriever,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Floodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Foodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Formosan Mountain Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Fourche Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
