Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Basset Bleu De Gascogne (Medium),4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Basset Bleu De Gascogne (Medium),4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Basset Bleu De Gascogne (Small),4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Basset Bleu De Gascogne (Small),4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Basset Bleu De Gascogne (Small),4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Basset Bleu De Gascogne (Small),4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Basset Fauve de Bretagne,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Basset Fauve de Bretagne,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Basset Fauve de Bretagne,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Basset Fauve de Bretagne,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Basset Griffon Vendeen,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Basset Griffon Vendeen,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Basset Griffon Vendeen,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Basset Griffon Vendeen,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Basset Griffon Vendeen Grand,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Basset Griffon Vendeen Grand,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Basset Griffon Vendeen Grand,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Basset Griffon Vendeen Grand,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Basset Griffon Vendeen Petite,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Basset Griffon Vendeen Petite,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Basset Griffon Vendeen Petite,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Basset Griffon Vendeen Petite,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Basset Hound,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Basset Hound,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Basset Hound,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Basset Hound,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Bavarian Mountain Hound,4,Male,Yes,Free,£20.74,£248.88,£99,1000
Animal Friends,Dog,Bavarian Mountain Hound,4,Male,Yes,Free,£37.46,£449.52,£99,2000
Animal Friends,Dog,Bavarian Mountain Hound,4,Male,Yes,Free,£54.02,£648.24,£99,4000
Animal Friends,Dog,Bavarian Mountain Hound,4,Male,Yes,Free,£71.76,£861.12,£99,6000
Animal Friends,Dog,Beagle,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Beagle,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Beagle,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Beagle,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Beaglier,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Beaglier,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Beaglier,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Beaglier,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Bearded Collie,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Bearded Collie,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Bearded Collie,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Bearded Collie,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Beauceron,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Beauceron,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Beauceron,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Beauceron,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Bedlington Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Bedlington Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Bedlington Terrier,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Bedlington Terrier,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Belgian Cattle Dog,4,Male,Yes,Free,£13.47,£161.64,£99,1000
Animal Friends,Dog,Belgian Cattle Dog,4,Male,Yes,Free,£24.34,£292.08,£99,2000
Animal Friends,Dog,Belgian Cattle Dog,4,Male,Yes,Free,£35.10,£421.20,£99,4000
Animal Friends,Dog,Belgian Cattle Dog,4,Male,Yes,Free,£46.63,£559.56,£99,6000
Animal Friends,Dog,Belgian Malinois,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Belgian Malinois,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Belgian Malinois,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Belgian Malinois,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Belgian Shepherd Dog,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Belgian Shepherd Dog,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Belgian Shepherd Dog,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Belgian Shepherd Dog,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Belgian Shepherd Dog (Groenendael),4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Belgian Shepherd Dog (Groenendael),4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Belgian Shepherd Dog (Groenendael),4,Male,Yes,Free,£28.49,£341.88,£99,4000
